Clothing,Giyim/Kıyafet,The charity collects used clothing for the poor.,Hayır kurumu fakirler için kullanılmış giysi topluyor.
Clue,İpucu,The detective found a vital clue at the crime scene.,Dedektif suç mahallinde hayati bir ipucu buldu.
Clumsy,Sakar,He is so clumsy that he keeps dropping things.,O kadar sakar ki sürekli bir şeyleri düşürüyor.
Cluster,Küme/Salkım,A cluster of stars was visible in the night sky.,Gece gökyüzünde bir yıldız kümesi görünüyordu.
Coalition,Koalisyon,The two parties formed a coalition to win the election.,İki parti seçimi kazanmak için bir koalisyon kurdu.
Coastal,Kıyısal/Sahil,Coastal areas are often affected by strong winds.,Kıyı bölgeleri genellikle güçlü rüzgarlardan etkilenir.
Code,Kod/Şifre,You need to enter a four-digit code to unlock the door.,Kapıyı açmak için dört haneli bir kod girmeniz gerekiyor.
Coexist,Birlikte var olmak,Different cultures can coexist peacefully in the same society.,Farklı kültürler aynı toplumda barış içinde birlikte var olabilirler.
Coffin,Tabut,The coffin was lowered into the ground during the funeral.,Cenaze töreni sırasında tabut toprağa indirildi.
Coherence,Tutarlılık/Bütünlük,The essay lacked coherence and was difficult to follow.,Deneme tutarlılıktan yoksundu ve takip etmesi zordu.
Coherent,Tutarlı/Mantıklı,He was unable to give a coherent explanation for his actions.,Hareketleri için tutarlı bir açıklama yapamadı.
Coil,Bobin/Sarmak,The snake began to coil itself around the branch.,Yılan kendini dalın etrafına sarmaya başladı.
Coincide,Çakışmak/Denk gelmek,My vacation dates coincide with the annual festival.,Tatil tarihlerim yıllık festivalle çakışıyor.
Coincidence,Tesadüf,It was a pure coincidence that we met in Paris.,Paris'te karşılaşmamız tamamen bir tesadüftü.
Collaborate,İşbirliği yapmak,Scientists from different countries collaborated on the project.,Farklı ülkelerden bilim adamları proje üzerinde işbirliği yaptı.
Collaboration,İşbirliği,The book was a result of collaboration between two authors.,Kitap iki yazar arasındaki işbirliğinin bir sonucuydu.
Collapse,Çökmek/Yıkılmak,The roof collapsed under the weight of the heavy snow.,Çatı ağır karın ağırlığı altında çöktü.
Collar,Yaka/Tasma,He turned up his collar to protect against the wind.,Rüzgardan korunmak için yakasını kaldırdı.
Collective,Kolektif/Ortak,We made a collective decision to support the proposal.,Teklifi desteklemek için kolektif bir karar aldık.
Collector,Koleksiyoncu,He is a collector of rare stamps and coins.,O nadir pul ve madeni paraların koleksiyoncusudur.
Collide,Çarpışmak,Two cars collided at the intersection due to speeding.,Aşırı hız nedeniyle kavşakta iki araba çarpıştı.
Collision,Çarpışma,The collision caused significant damage to both vehicles.,Çarpışma her iki araçta da önemli hasara neden oldu.
Colonial,Sömürge,The city still retains much of its colonial architecture.,Şehir sömürge mimarisinin çoğunu hala koruyor.
Colony,Sömürge/Koloni,India was once a colony of the British Empire.,Hindistan bir zamanlar İngiliz İmparatorluğu'nun bir sömürgesiydi.
Column,Sütun/Köşe yazısı,He writes a weekly column for the local newspaper.,Yerel gazete için haftalık bir köşe yazısı yazıyor.
Combat,Savaşmak/Mücadele,The government is taking measures to combat inflation.,Hükümet enflasyonla mücadele etmek için önlemler alıyor.
Combination,Kombinasyon,Success requires a combination of talent and hard work.,Başarı yetenek ve sıkı çalışmanın bir kombinasyonunu gerektirir.
Combine,Birleştirmek,We should combine our resources to achieve better results.,Daha iyi sonuçlar elde etmek için kaynaklarımızı birleştirmeliyiz.
Combustion,Yanma,The engine works by internal combustion of fuel.,Motor yakıtın içten yanmasıyla çalışır.
Commence,Başlamak (Resmi),The ceremony will commence at precisely nine o'clock.,Tören tam olarak saat dokuzda başlayacak.
Commentary,Yorum/Anlatım,The sports commentary added excitement to the match.,Spor yorumu maça heyecan kattı.
Commentator,Yorumcu,The political commentator analyzed the election results.,Siyasi yorumcu seçim sonuçlarını analiz etti.
Commerce,Ticaret,Electronic commerce has revolutionized the way we shop.,Elektronik ticaret alışveriş yapma şeklimizde devrim yarattı.
Commercial,Ticari,The new airport will be used for commercial flights.,Yeni havaalanı ticari uçuşlar için kullanılacak.
Commission,Komisyon/Görevlendirmek,He received a commission for painting the mayor's portrait.,Belediye başkanının portresini yaptığı için bir komisyon aldı.
Commissioner,Komiser/Yetkili,The police commissioner promised to reduce crime rates.,Polis komiseri suç oranlarını düşürme sözü verdi.
Commitment,Taahhüt/Bağlılık,She showed great commitment to her studies.,Çalışmalarına büyük bir bağlılık gösterdi.
Committee,Komite/Kurul,The committee will review the applications next week.,Komite başvuruları gelecek hafta inceleyecek.
Commodity,Emtia/Ticari mal,Oil is a valuable commodity in the global market.,Petrol küresel pazarda değerli bir emtiadır.
Communicate,İletişim kurmak,We need to communicate our ideas clearly to the team.,Fikirlerimizi ekibe açıkça iletmemiz gerekiyor.
Communication,İletişim,Effective communication is essential for a successful relationship.,Etkili iletişim başarılı bir ilişki için esastır.
Community,Topluluk,The local community rallied together to help the victims.,Yerel topluluk kurbanlara yardım etmek için bir araya geldi.
Commute,İşe gidip gelmek,He commutes to the city by train every day.,Her gün trene binerek şehre işe gidip geliyor.
Companion,Yoldaş/Arkadaş,Dogs are known to be loyal companions to humans.,Köpeklerin insanlara sadık yoldaşlar olduğu bilinmektedir.
Comparable,Karşılaştırılabilir,The two houses are comparable in size and price.,İki ev boyut ve fiyat açısından karşılaştırılabilir.
Comparative,Karşılaştırmalı,She is conducting a comparative study of two languages.,İki dilin karşılaştırmalı bir çalışmasını yürütüyor.
Compass,Pusula,Hikers use a compass to navigate through the woods.,Yürüyüşçüler ormanda yön bulmak için pusula kullanırlar.
Compassion,Şefkat/Merhamet,He felt deep compassion for the homeless people.,Evsiz insanlara karşı derin bir şefkat hissetti.
English,Turkish,EnSample,TrSample
Compel,Zorlamak/Mecbur etmek,Bad weather compelled us to cancel the outdoor event.,Kötü hava bizi açık hava etkinliğini iptal etmeye zorladı.
Compensate,Telafi etmek,The company compensated him for the extra hours worked.,Şirket çalıştığı fazladan saatler için onu telafi etti (ödeme yaptı).
Competence,Yeterlilik/Yetkinlik,He demonstrated a high level of professional competence.,Yüksek düzeyde bir mesleki yeterlilik gösterdi.
Compile,Derlemek,We need to compile a list of all potential customers.,Tüm potansiyel müşterilerin bir listesini derlememiz gerekiyor.
Compliment,İltifat etmek,She complimented him on his excellent presentation skills.,Mükemmel sunum becerileri için ona iltifat etti.
Comply,Uymak (Kurala),All employees must comply with the safety regulations.,Tüm çalışanlar güvenlik yönetmeliklerine uymalıdır.
Compose,Oluşturmak/Bestelemek,Water is composed of hydrogen and oxygen atoms.,Su hidrojen ve oksijen atomlarından oluşur.
Composition,Kompozisyon/Bileşim,The chemical composition of the soil was analyzed.,Toprağın kimyasal bileşimi analiz edildi.
Compound,Bileşik/Yerleşke,Salt is a chemical compound of sodium and chloride.,Tuz sodyum ve klorürün kimyasal bir bileşiğidir.
Comprehend,Kavramak/Anlamak,I cannot comprehend why he made such a decision.,Neden böyle bir karar verdiğini kavrayamıyorum.
Comprehensive,Kapsamlı,The report provides a comprehensive analysis of the market.,Rapor pazarın kapsamlı bir analizini sunuyor.
Compress,Sıkıştırmak,The file was compressed to save storage space.,Dosya depolama alanından tasarruf etmek için sıkıştırıldı.
Comprise,Oluşmak/İçermek,The committee comprises members from various different departments.,Komite çeşitli farklı departmanlardan üyelerden oluşmaktadır.
Compromise,Uzlaşmak/Taviz,We reached a compromise after hours of negotiation.,Saatler süren müzakerelerden sonra bir uzlaşmaya vardık.
Compulsory,Zorunlu,Education is compulsory for children up to age sixteen.,Eğitim on altı yaşına kadar olan çocuklar için zorunludur.
Compute,Hesaplamak,The software can compute complex mathematical problems quickly.,Yazılım karmaşık matematiksel problemleri hızlıca hesaplayabilir.
Conceal,Gizlemek,He tried to conceal his disappointment with a smile.,Hayal kırıklığını bir gülümsemeyle gizlemeye çalıştı.
Concede,Kabul etmek (İstemeyerek),He conceded that he had made a mistake.,Bir hata yaptığını (istemeyerek de olsa) kabul etti.
Conceive,Tasarlamak/Kavramak,It is difficult to conceive of a world without technology.,Teknolojisiz bir dünya tasarlamak zordur.
Conception,Kavrayış/Fikir,My conception of freedom is different from yours.,Benim özgürlük anlayışım seninkinden farklı.
Concession,İmtiyaz/Taviz,The government made concessions to end the strike.,Hükümet grevi sona erdirmek için tavizler verdi.
Concise,Kısa ve öz,Please keep your answers concise and to the point.,Lütfen cevaplarınızı kısa öz ve konuya uygun tutun.
Concrete,Beton/Somut,We need concrete evidence to prove his guilt.,Suçluluğunu kanıtlamak için somut delillere ihtiyacımız var.
Condemn,Kınamak/Mahkum etmek,The politician condemned the violence in his speech.,Politikacı konuşmasında şiddeti kınadı.
Confer,Görüşmek/Danışmak,I need to confer with my lawyer before answering.,Cevap vermeden önce avukatımla görüşmem gerekiyor.
Confess,İtiraf etmek,He confessed to the crime after hours of interrogation.,Saatler süren sorgudan sonra suçu itiraf etti.
Confession,İtiraf,His confession was recorded by the police.,İtirafı polis tarafından kaydedildi.
Confidential,Gizli,These documents are confidential and must be protected.,Bu belgeler gizlidir ve korunmalıdır.
Conform,Uymak/Boyun eğmek,Students are expected to conform to the school rules.,Öğrencilerin okul kurallarına uyması beklenir.
Congestion,Sıkışıklık (Trafik),Traffic congestion is a major problem in big cities.,Trafik sıkışıklığı büyük şehirlerde önemli bir sorundur.
Conjunction,Bağlaç/Birleşme,The police are working in conjunction with the army.,Polis orduyla birlikte (birleşme halinde) çalışıyor.
Conquer,Fethetmek/Yenmek,He conquered his fear of heights by climbing mountains.,Dağlara tırmanarak yükseklik korkusunu yendi.
Conscience,Vicdan,His conscience bothered him after he lied.,Yalan söyledikten sonra vicdanı onu rahatsız etti.
Consecutive,Ardışık/Peş peşe,It rained for three consecutive days last week.,Geçen hafta üç gün peş peşe yağmur yağdı.
Consensus,Fikir birliği,We finally reached a consensus on the issue.,Konu üzerinde sonunda bir fikir birliğine vardık.
Consent,Rıza/Onay,You cannot take photos without the person's consent.,Kişinin rızası olmadan fotoğraf çekemezsiniz.
Conservation,Koruma (Doğa),Wildlife conservation is essential for maintaining biodiversity.,Yaban hayatı koruma biyolojik çeşitliliği sürdürmek için esastır.
Conservative,Muhafazakar,He has conservative views on marriage and family.,Evlilik ve aile konusunda muhafazakar görüşleri var.
Consolidate,Güçlendirmek/Birleştirmek,The company consolidated its position in the market.,Şirket pazardaki konumunu güçlendirdi.
Conspiracy,Komplo,He was accused of being involved in a conspiracy.,Bir komploya karışmakla suçlandı.
Constituency,Seçim bölgesi,The politician visited his constituency to meet voters.,Politikacı seçmenlerle buluşmak için seçim bölgesini ziyaret etti.
Constitute,Oluşturmak/Teşkil etmek,Tourism constitutes a large part of the country's income.,Turizm ülke gelirinin büyük bir kısmını oluşturur.
Constitution,Anayasa,The constitution guarantees freedom of speech for everyone.,Anayasa herkes için ifade özgürlüğünü garanti eder.
Constraint,Kısıtlama/Zorlama,Budget constraints forced us to cancel the project.,Bütçe kısıtlamaları bizi projeyi iptal etmeye zorladı.
Consultant,Danışman,They hired a business consultant to improve efficiency.,Verimliliği artırmak için bir iş danışmanı tuttular.
Consume,Tüketmek,This car consumes a lot of fuel.,Bu araba çok fazla yakıt tüketiyor.
Consumption,Tüketim,Water consumption increases during the hot summer months.,Sıcak yaz aylarında su tüketimi artar.
Contagious,Bulaşıcı,The flu is highly contagious so stay home.,Grip oldukça bulaşıcıdır bu yüzden evde kalın.
Contaminate,Kirletmek (Bulaştırmak),The river was contaminated by industrial waste.,Nehir endüstriyel atıklarla kirlendi.
Contemplate,Düşünüp taşınmak,He contemplated the meaning of life for hours.,Saatlerce hayatın anlamı üzerine düşündü.
Contempt,Aşağılama/Hor görme,He showed contempt for the court's decision.,Mahkemenin kararına karşı aşağılama gösterdi.
Continual,Sürekli (Aralıklı),I am tired of these continual interruptions.,Bu sürekli kesintilerden yoruldum.
Continuous,Sürekli (Kesintisiz),The continuous noise from the factory is annoying.,Fabrikadan gelen kesintisiz gürültü rahatsız edici.
Contradict,Çelişmek,His actions contradict his words.,Eylemleri sözleriyle çelişiyor.
Contradiction,Çelişki,There is a contradiction between the two reports.,İki rapor arasında bir çelişki var.
Contrary,Aksine/Ters,Contrary to popular belief sharks rarely attack humans.,Yaygın inanışın aksine köpekbalıkları insanlara nadiren saldırır.
Controversial,Tartışmalı,The new law is highly controversial among the public.,Yeni yasa halk arasında oldukça tartışmalı.
Controversy,Tartışma/İhtilaf,The controversy surrounding the election continues.,Seçimi çevreleyen tartışma devam ediyor.
Convenience,Kolaylık/Rahatlık,Please call me at your earliest convenience.,Lütfen bana en kısa sürede (kolaylığınızda) arayın.
Converge,Birleşmek/Yakınsamak,The two roads converge just outside the city.,İki yol şehrin hemen dışında birleşiyor.
Conversion,Dönüşüm,The conversion of the building into a hotel took a year.,Binanın otele dönüşümü bir yıl sürdü.
Convert,Dönüştürmek,We need to convert dollars into euros.,Dolarları euroya dönüştürmemiz gerekiyor.
Convey,İletmek/Taşımak,I tried to convey my feelings through the letter.,Duygularımı mektup aracılığıyla iletmeye çalıştım.
Convict,Mahkum etmek/Suçlu,He was convicted of robbery and sent to prison.,Soygundan mahkum edildi ve hapse gönderildi.
Conviction,Mahkumiyet/İnanç,He holds a strong conviction that he is right.,Haklı olduğuna dair güçlü bir inancı var.
Cooperative,İşbirlikçi/Kooperatif,She was very cooperative during the investigation.,Soruşturma sırasında çok işbirlikçiydi.
Coordinate,Koordine etmek,We need to coordinate our efforts to succeed.,Başarılı olmak için çabalarımızı koordine etmeliyiz.
Coordination,Koordinasyon,The project requires coordination between three departments.,Proje üç departman arasında koordinasyon gerektiriyor.
Copper,Bakır,Copper is a good conductor of electricity.,Bakır elektriğin iyi bir iletkenidir.
Copyright,Telif hakkı,The images are protected by copyright law.,Görseller telif hakkı yasası ile korunmaktadır.
Corporation,Şirket/Kurum,He works for a large multinational corporation.,Büyük bir çok uluslu şirkette çalışıyor.
Correction,Düzeltme,I made a correction to the document.,Belgede bir düzeltme yaptım.
Correlate,İlişkili olmak,Smoking correlates with a higher risk of cancer.,Sigara içmek daha yüksek kanser riskiyle ilişkilidir.
Correspond,Yazışmak/Karşılık gelmek,Her description corresponds with the police report.,Onun tarifi polis raporuyla uyuşuyor (karşılık geliyor).
Correspondence,Yazışma,I kept up a correspondence with him for years.,Onunla yıllarca yazışmayı sürdürdüm.
Correspondent,Muhabir,She works as a foreign correspondent in Paris.,Paris'te yabancı muhabir olarak çalışıyor.
Corridor,Koridor,The bathroom is at the end of the corridor.,Banyo koridorun sonundadır.
Corrupt,Yozlaşmış/Bozuk,The corrupt politician accepted bribes.,Yozlaşmış politikacı rüşvet kabul etti.
Corruption,Yolsuzluk,The government promised to fight against corruption.,Hükümet yolsuzlukla mücadele sözü verdi.
Costly,Pahalı/Maliyetli,It was a costly mistake for the company.,Şirket için maliyetli bir hataydı.
Councilor,Meclis üyesi,The councilor voted against the new development plan.,Meclis üyesi yeni kalkınma planına karşı oy kullandı.
Counsel,Danışmanlık/Öğüt,He sought counsel from his mentors.,Akıl hocalarından öğüt (danışmanlık) istedi.
Counseling,Danışmanlık (Psikolojik),She is undergoing counseling for her anxiety.,Kaygısı için danışmanlık alıyor.
Counselor,Danışman,The school counselor helped the student with his problems.,Okul danışmanı öğrenciye sorunlarında yardımcı oldu.
Counterpart,Mevkidaş,The minister met with his French counterpart.,Bakan Fransız mevkidaşı ile görüştü.
Coup,Darbe,The military attempted a coup against the government.,Ordu hükümete karşı darbe girişiminde bulundu.
Courtesy,Nezaket,He treated us with great courtesy.,Bize büyük bir nezaketle davrandı.
Coverage,Kapsam/Yayın,The event received live coverage on TV.,Etkinlik televizyonda canlı yayınlandı (kapsandı).
Coward,Korkak,Don't be a coward tell the truth.,Korkak olma gerçeği söyle.
Crawl,Emeklemek/Sürünmek,The baby started to crawl across the floor.,Bebek yerde emeklemeye başladı.
Creator,Yaratıcı,He is the creator of this popular cartoon.,O bu popüler çizgi filmin yaratıcısıdır.
Credibility,Güvenilirlik,The scandal damaged the politician's credibility.,Skandal politikacının güvenilirliğine zarar verdi.
Credible,İnandırıcı/Güvenilir,She gave a credible explanation for her absence.,Yokluğu için inandırıcı bir açıklama yaptı.
Creep,Sessizce sokulmak/Sürünmek,He tried to creep into the room unnoticed.,Fark edilmeden odaya süzülmeye çalıştı.
Cripple,Sakatlamak/Felç etmek,The strike threatened to cripple the economy.,Grev ekonomiyi felç etmekle tehdit etti.
Critic,Eleştirmen,The movie critic wrote a positive review.,Film eleştirmeni olumlu bir inceleme yazdı.
Crook,Dolandırıcı/Sahtekar,The police caught the crook stealing a car.,Polis dolandırıcıyı araba çalarken yakaladı.
Crude,Ham/Kaba,The country exports crude oil.,Ülke ham petrol ihraç ediyor.
Cruise,Gemi gezisi/Seyir,We went on a cruise around the Mediterranean.,Akdeniz çevresinde bir gemi gezisine çıktık.
Crystal,Kristal,She drank from a beautiful crystal glass.,Güzel bir kristal bardaktan içti.
Cue,İpucu/İşaret,That was my cue to enter the stage.,Bu benim sahneye çıkmam için işaretti.
Cultivate,Ekip biçmek/Geliştirmek,He tried to cultivate a good relationship with his boss.,Patronuyla iyi bir ilişki geliştirmeye çalıştı.
Cunning,Kurnaz,The fox is known for being a cunning animal.,Tilki kurnaz bir hayvan olmasıyla bilinir.
Curb,Zapt etmek/Kaldırım kenarı,We need to curb our spending this month.,Bu ay harcamalarımızı zapt etmeliyiz (kısmalıyız).
Curiosity,Merak,Her curiosity led her to open the box.,Merakı kutuyu açmasına neden oldu.
Curriculum,Müfredat,The school curriculum includes math and science.,Okul müfredatı matematik ve fen içerir.
Custody,Gözaltı/Velayet,The suspect is currently in police custody.,Şüpheli şu anda polis gözaltısında.
Customary,Geleneksel/Adet olan,It is customary to shake hands when meeting.,Tanışırken el sıkışmak adettir.
Cynical,Alaycı/Kötümser,He has a cynical view of politics.,Siyaset hakkında alaycı (kötümser) bir görüşü var.
Dairy,Süt ürünleri,I am allergic to dairy products like milk.,Süt gibi süt ürünlerine alerjim var.
Dam,Baraj,The dam provides electricity for the whole region.,Baraj tüm bölge için elektrik sağlıyor.
Darkness,Karanlık,The room was plunged into total darkness.,Oda tamamen karanlığa gömüldü.
Darling,Sevgilim/Canım,Goodnight my darling sleep well.,İyi geceler sevgilim iyi uyu.
Database,Veritabanı,The information is stored in a secure database.,Bilgi güvenli bir veritabanında saklanır.
Dawn,Şafak,We woke up at dawn to go fishing.,Balık tutmak için şafak vakti uyandık.
Deadline,Son teslim tarihi,The deadline for the project is tomorrow.,Projenin son teslim tarihi yarın.
Deadly,Ölümcül,The snake's venom is deadly to humans.,Yılanın zehri insanlar için ölümcüldür.
Debris,Enkaz/Moloz,Rescue teams searched the debris for survivors.,Kurtarma ekipleri enkazda hayatta kalanları aradı.
Debut,İlk çıkış/Sahne alma,The singer made her debut at age eighteen.,Şarkıcı ilk çıkışını on sekiz yaşında yaptı.
Deceive,Aldatmak/Kandırmak,He tried to deceive me with a fake story.,Sahte bir hikayeyle beni kandırmaya çalıştı.
Deception,Aldatma/Hile,He was accused of obtaining money by deception.,Hileyle para elde etmekle suçlandı.
Decimal,Ondalık,Convert the fraction to a decimal number.,Kesri ondalık sayıya dönüştürün.
Decisive,Belirleyici/Kararlı,His decisive action saved the company.,Onun kararlı hareketi şirketi kurtardı.
Deck,Güverte,We sat on the deck watching the sunset.,Güvertede oturup gün batımını izledik.
Declaration,Beyan/Bildirge,The declaration of independence was signed in 1776.,Bağımsızlık bildirgesi 1776'da imzalandı.
Dedicate,Adamak,He decided to dedicate his life to science.,Hayatını bilime adamaya karar verdi.
Dedication,Adanmışlık/İthaf,Her dedication to the job is admirable.,İşe olan adanmışlığı takdire şayan.
Deduct,Çıkarmak/Kesmek,They deduct tax from my salary every month.,Her ay maaşımdan vergi kesiyorlar.
Deed,Eylem/Tapu,It was a heroic deed to save the child.,Çocuğu kurtarmak kahramanca bir eylemdi.
Deer,Geyik,We saw a deer running in the forest.,Ormanda koşan bir geyik gördük.
Defect,Kusur/Arıza,The car was recalled due to a manufacturing defect.,Araba üretim hatası (kusuru) nedeniyle geri çağrıldı.
Defendant,Davalı/Sanık,The defendant pleaded not guilty in court.,Sanık mahkemede suçsuz olduğunu beyan etti.
Defender,Savunucu,He is a strong defender of human rights.,O insan haklarının güçlü bir savunucusudur.
Deficiency,Eksiklik/Yetersizlik,Vitamin deficiency can cause health problems.,Vitamin eksikliği sağlık sorunlarına neden olabilir.
Deficit,Açık (Bütçe),The government is trying to reduce the budget deficit.,Hükümet bütçe açığını azaltmaya çalışıyor.
Defy,Meydan okumak/Karşı gelmek,He defied his parents and left home.,Ailesine karşı geldi ve evi terk etti.
Delegate,Delege/Yetki vermek,A delegate from each country attended the conference.,Her ülkeden bir delege konferansa katıldı.
Delegation,Heyet,The trade delegation arrived in China yesterday.,Ticaret heyeti dün Çin'e vardı.
Delete,Silmek,I accidentally deleted the file from my computer.,Dosyayı kazara bilgisayarımdan sildim.
Deliberate,Kasıtlı/Planlı,It was a deliberate attempt to hurt him.,Onu incitmek için kasıtlı bir girişimdi.
Delicate,Hassas/Narin,The flower is very delicate and needs care.,Çiçek çok narindir ve bakıma ihtiyacı vardır.
Delicious,Lezzetli,This chocolate cake is absolutely delicious.,Bu çikolatalı kek kesinlikle çok lezzetli.
Delight,Zevk/Haz,It was a delight to see you again.,Sizi tekrar görmek bir zevkti.
Delighted,Memnun,I am delighted to hear the good news.,İyi haberi duyduğuma memnun oldum.
Democrat,Demokrat,He has been a registered Democrat for years.,Yıllardır kayıtlı bir Demokrattır.
Demographic,Demografik,The demographic structure of the city is changing.,Şehrin demografik yapısı değişiyor.
Denial,İnkar/Red,His denial of the crime was not convincing.,Suçu inkar etmesi inandırıcı değildi.
Denounce,Kınamak/İhbar etmek,The government denounced the terrorist attack.,Hükümet terörist saldırıyı kınadı.
Dense,Yoğun/Sık,We walked through the dense forest.,Sık ormanın içinden yürüdük.
Density,Yoğunluk,The population density is high in the city center.,Şehir merkezinde nüfus yoğunluğu yüksektir.
Depart,Ayrılmak/Kalkmak,The train will depart from platform five.,Tren beşinci perondan kalkacak.
Dependence,Bağımlılık,We need to reduce our dependence on oil.,Petrole olan bağımlılığımızı azaltmamız gerekiyor.
Dependent,Bağımlı,Children are dependent on their parents.,Çocuklar ebeveynlerine bağımlıdır.
Depict,Tasvir etmek/Göstermek,The painting depicts a scene from rural life.,Tablo kırsal yaşamdan bir sahneyi tasvir ediyor.
Deploy,Konuşlandırmak,Troops were deployed to the border region.,Birlikler sınır bölgesine konuşlandırıldı.
Depression,Depresyon/Çöküntü,He suffered from severe depression after the loss.,Kaybın ardından şiddetli depresyon yaşadı.
Deprive,Mahrum etmek,You cannot deprive him of his rights.,Onu haklarından mahrum edemezsiniz.
Deputy,Vekil/Yardımcı,The deputy director will take charge in my absence.,Yokluğumda müdür yardımcısı (vekil) sorumlu olacak.
Descend,İnmek/Alçalmak,The plane began to descend towards the airport.,Uçak havaalanına doğru alçalmaya başladı.
Descent,İniş/Soy,The descent down the mountain was dangerous.,Dağdan iniş tehlikeliydi.
Designate,Belirlemek/Atamak,This area is designated for smoking.,Bu alan sigara içmek için belirlenmiştir.
Desirable,Arzu edilen,It is desirable to have some experience.,Biraz deneyime sahip olmak arzu edilir.
Despair,Umutsuzluk,He cried out in despair when he lost.,Kaybettiğinde umutsuzluk içinde bağırdı.
Despise,Hor görmek/Nefret etmek,I despise people who are cruel to animals.,Hayvanlara zalim davranan insanları hor görürüm.
Destination,Varış yeri,We finally reached our destination after a long drive.,Uzun bir sürüşten sonra sonunda varış yerimize ulaştık.
Destiny,Kader,He believed it was his destiny to be king.,Kral olmanın kaderi olduğuna inanıyordu.
English,Turkish,EnSample,TrSample
Destructive,Yıkıcı,The storm was very destructive to the coastal villages.,Fırtına kıyı köyleri için çok yıkıcıydı.
Detach,Ayırmak/Çıkarmak,Please detach the coupon and return it to us.,Lütfen kuponu ayırın ve bize iade edin.
Detain,Alıkoymak/Gözaltına almak,The police decided to detain the suspect for questioning.,Polis şüpheliyi sorgulamak için gözaltına almaya karar verdi.
Deteriorate,Kötüleşmek,His health condition continued to deteriorate over the weekend.,Sağlık durumu hafta sonu boyunca kötüleşmeye devam etti.
Devastate,Harap etmek,The earthquake devastated the region leaving many homeless.,Deprem bölgeyi harap etti ve birçok kişiyi evsiz bıraktı.
Devise,Tasarlamak/İcat etmek,We need to devise a plan to solve this issue.,Bu sorunu çözmek için bir plan tasarlamalıyız.
Diagnose,Teşhis etmek,The doctor was able to diagnose the disease quickly.,Doktor hastalığı hızlı bir şekilde teşhis edebildi.
Diagnosis,Teşhis,Early diagnosis is crucial for effective treatment of cancer.,Kanserin etkili tedavisi için erken teşhis hayati önem taşır.
Diagonal,Köşegen/Çapraz,Draw a diagonal line across the square piece of paper.,Kare kağıt parçasının üzerinden çapraz bir çizgi çizin.
Dialect,Lehçe/Ağız,They speak a local dialect that is hard to understand.,Anlaşılması zor yerel bir lehçe konuşuyorlar.
Dictate,Yazdırmak/Dikte etmek,The boss likes to dictate letters to his secretary.,Patron mektupları sekreterine yazdırmayı sever.
Differ,Farklılık göstermek,Opinions differ on how to handle the economic crisis.,Ekonomik krizin nasıl ele alınacağı konusunda görüşler farklılık gösteriyor.
Differentiate,Ayırt etmek,It is hard to differentiate between the two identical twins.,İki tek yumurta ikizini ayırt etmek zordur.
Digest,Sindirmek,It takes time to digest a heavy meal properly.,Ağır bir yemeği düzgün bir şekilde sindirmek zaman alır.
Digestion,Sindirim,Drinking water helps with digestion after eating food.,Yemekten sonra su içmek sindirime yardımcı olur.
Dignity,Onur/Haysiyet,She accepted the criticism with great dignity and grace.,Eleştiriyi büyük bir onur ve zarafetle kabul etti.
Dilemma,İkilem,I am facing a difficult dilemma regarding my career.,Kariyerimle ilgili zor bir ikilemle karşı karşıyayım.
Dimension,Boyut,We need to measure the dimensions of the room first.,Önce odanın boyutlarını ölçmemiz gerekiyor.
Diminish,Azalmak,His influence began to diminish after the scandal broke out.,Skandal patlak verdikten sonra etkisi azalmaya başladı.
Dip,Daldırmak,She dipped her toe into the cold swimming pool.,Ayak parmağını soğuk yüzme havuzuna daldırdı.
Diplomat,Diplomat,The diplomat negotiated a peace treaty between the countries.,Diplomat ülkeler arasında bir barış anlaşması müzakere etti.
Diplomatic,Diplomatik,He gave a diplomatic answer to avoid offending anyone.,Kimseyi gücendirmemek için diplomatik bir cevap verdi.
Directory,Rehber/Dizin,Look up the number in the telephone directory.,Numarayı telefon rehberinden arayın.
Disability,Engellilik,The building has special access for people with disabilities.,Binanın engelli insanlar için özel erişimi vardır.
Disable,Devre dışı bırakmak,You should disable the alarm before opening the door.,Kapıyı açmadan önce alarmı devre dışı bırakmalısınız.
Disapprove,Onaylamamak,Her parents disapprove of her decision to leave school.,Ailesi okulu bırakma kararını onaylamıyor.
Disarm,Silahsızlandırmak,The soldier managed to disarm the enemy quickly.,Asker düşmanı hızlı bir şekilde silahsızlandırmayı başardı.
Discard,Atmak/Elden çıkarmak,Please discard any food that has passed its expiration date.,Lütfen son kullanma tarihi geçmiş yiyecekleri atın.
Discharge,Taburcu etmek/Boşaltmak,The hospital will discharge the patient tomorrow morning.,Hastane hastayı yarın sabah taburcu edecek.
Disclose,İfşa etmek/Açıklamak,The company refused to disclose the details of the deal.,Şirket anlaşmanın detaylarını açıklamayı reddetti.
Disclosure,İfşa/Açıklama,Full disclosure of financial assets is required by law.,Finansal varlıkların tam ifşası yasalarca zorunludur.
Discourage,Cesaretini kırmak,Don't let one failure discourage you from trying again.,Bir başarısızlığın tekrar deneme cesaretinizi kırmasına izin vermeyin.
Discourse,Söylem/Konuşma,The political discourse has become very aggressive lately.,Siyasi söylem son zamanlarda çok saldırganlaştı.
Discreet,Gizli/Tedbirli,Please be discreet about this confidential matter.,Lütfen bu gizli konu hakkında tedbirli olun.
