Essential,Temel/Gerekli,Essential vitamins.,Temel vitaminler.
Establish,Kurmak,Establish a company.,Şirket kurmak.
Estate,Emlak/Mülk,Real estate.,Gayrimenkul.
Estimate,Tahmin etmek,Estimate the cost.,Maliyeti tahmin et.
Evaluate,Değerlendirmek,Evaluate performance.,Performansı değerlendir.
Even,Hatta/Eşit,Even numbers.,Çift sayılar.
Event,Olay/Etkinlik,Social event.,Sosyal etkinlik.
Eventually,Sonunda/Nihayetinde,Eventually he agreed.,Sonunda kabul etti.
Evidence,Kanıt,Scientific evidence.,Bilimsel kanıt.
Evil,Kötü/Şeytani,Evil spirit.,Kötü ruh.
Exact,Tam/Kesin,Exact time.,Tam zaman.
Exactly,Kesinlikle,Exactly right.,Kesinlikle doğru.
Exam,Sınav,Final exam.,Final sınavı.
Examine,İncelemek,Examine the patient.,Hastayı muayene et (incele).
Example,Örnek,For example.,Örneğin.
Excellent,Mükemmel,Excellent job.,Mükemmel iş.
Exception,İstisna,Without exception.,İstisnasız.
Exchange,Takas etmek/Döviz,Exchange rate.,Döviz kuru.
Excite,Heyecanlandırmak,Don't excite the dog.,Köpeği heyecanlandırma.
Excitement,Heyecan,Full of excitement.,Heyecan dolu.
Excuse,Bahane/Affetmek,No excuses.,Bahane yok.
Executive,Yönetici,Chief Executive Officer.,CEO (Baş Yönetici).
Exercise,Egzersiz,Morning exercise.,Sabah egzersizi.
Exhibit,Sergilemek,Exhibit paintings.,Resimleri sergilemek.
Exhibition,Sergi,Art exhibition.,Sanat sergisi.
Exist,Var olmak,Does aliens exist?,Uzaylılar var mı?
Existence,Varlık,Meaning of existence.,Varlığın anlamı.
Exit,Çıkış,Emergency exit.,Acil çıkış.
Expand,Genişlemek,Expand the business.,İşi büyütmek.
Expansion,Genişleme,Rapid expansion.,Hızlı genişleme.
Expect,Ummak/Beklemek,Expect a baby.,Bebek beklemek.
Expectation,Beklenti,High expectation.,Yüksek beklenti.
Expense,Masraf,Travel expense.,Seyahat masrafı.
Expensive,Pahalı,Expensive car.,Pahalı araba.
Experience,Deneyim,Work experience.,İş deneyimi.
Experiment,Deney,Science experiment.,Bilim deneyi.
Expert,Uzman,Ask an expert.,Bir uzmana sor.
Explain,Açıklamak,Explain the rule.,Kuralı açıkla.
Explanation,Açıklama,Logical explanation.,Mantıklı açıklama.
Explode,Patlamak,The bomb exploded.,Bomba patladı.
Explore,Keşfetmek (Araştırmak),Explore the city.,Şehri keşfet.
Explosion,Patlama,Loud explosion.,Gürültülü patlama.
Export,İhraç etmek,Export goods.,Mal ihraç etmek.
Expose,Maruz bırakmak,Expose to sun.,Güneşe maruz bırakmak.
Express,İfade etmek/Hızlı,Express feelings.,Duyguları ifade etmek.
Expression,İfade,Facial expression.,Yüz ifadesi.
Extend,Uzatmak,Extend the deadline.,Süreyi uzatmak.
Extension,Uzantı/Dahili hat,File extension.,Dosya uzantısı.
Extensive,Kapsamlı,Extensive research.,Kapsamlı araştırma.
Extent,Boyut/Derece,To some extent.,Bir dereceye kadar.
External,Harici,External hard drive.,Harici disk.
Extra,Ekstra,Extra charge.,Ekstra ücret.
Extraordinary,Olağanüstü,Extraordinary talent.,Olağanüstü yetenek.
Extreme,Aşırı,Extreme sports.,Ekstrem sporlar.
English,Turkish,EnSample,TrSample
Fabric,Kumaş,Silk fabric.,İpek kumaş.
Facility,Tesis/İmkan,Sports facility.,Spor tesisi.
Factor,Faktör/Etken,Key factor.,Ana faktör.
Failure,Başarısızlık,Failure is a lesson.,Başarısızlık bir derstir.
Faith,İnanç,Keep the faith.,İnancını koru.
Familiar,Tanıdık,Familiar face.,Tanıdık yüz.
Fancy,Süslü/Havalı,Fancy restaurant.,Lüks (havalı) restoran.
Fascinating,Büyüleyici,Fascinating story.,Büyüleyici hikaye.
Feature,Özellik,Main feature.,Ana özellik.
Fee,Ücret (Hizmet),Entrance fee.,Giriş ücreti.
Feedback,Geri bildirim,Positive feedback.,Olumlu geri bildirim.
Fiction,Kurgu,Science fiction.,Bilim kurgu.
Fierce,Şiddetli/Azgın,Fierce competition.,Kıyasıya rekabet.
Figure,Rakam/Şekil,Six-figure salary.,Altı rakamlı maaş.
Finance,Finans,Minister of Finance.,Maliye Bakanı.
Financial,Finansal,Financial crisis.,Finansal kriz.
Firm,Firma/Sıkı,Law firm.,Hukuk firması.
Flame,Alev,Candle flame.,Mum alevi.
Flash,Flaş/Çakmak,Camera flash.,Kamera flaşı.
Flexible,Esnek,Flexible working hours.,Esnek çalışma saatleri.
Float,Yüzmek (Batmadan),Wood floats on water.,Odun suda yüzer.
Flood,Sel/Su basması,The heavy rain caused a flood.,Şiddetli yağmur sele neden oldu.
Flu,Grip,I have the flu.,Gribim var.
Fluent,Akıcı,Fluent in English.,İngilizcede akıcı.
Focus,Odaklanmak,Focus on your work.,İşine odaklan.
Fold,Katlamak,Fold the paper.,Kağıdı katla.
Folk,Halk,Folk music.,Halk müziği.
Forgive,Affetmek,Please forgive me.,Lütfen beni affet.
Formal,Resmi,Formal dress.,Resmi kıyafet.
Former,Önceki/Eski,Former president.,Eski başkan.
Fortune,Servet/Şans,Make a fortune.,Servet yapmak.
Forward,İleri,Look forward.,İleriye bak.
Foundation,Vakıf/Temel,Charitable foundation.,Hayır vakfı.
Frame,Çerçeve,Picture frame.,Resim çerçevesi.
Freeze,Donmak,Water freezes at zero degrees.,Su sıfır derecede donar.
Frequent,Sık,Frequent traveler.,Sık seyahat eden.
Frighten,Korkutmak,Don't frighten the cat.,Kediyi korkutma.
Fuel,Yakıt,Fuel consumption.,Yakıt tüketimi.
Function,İşlev/Fonksiyon,Function of the heart.,Kalbin işlevi.
Fund,Fon/Sermaye,Investment fund.,Yatırım fonu.
Fundamental,Temel/Esas,Fundamental rights.,Temel haklar.
Funeral,Cenaze,Funeral service.,Cenaze töreni.
Fur,Kürk,Artificial fur.,Suni kürk.
Gain,Kazanmak (Elde etmek),Gain weight.,Kilo almak.
Gap,Boşluk/Fark,Generation gap.,Kuşak çatışması (farkı).
Gather,Toplamak/Toplanmak,Gather wood.,Odun toplamak.
Gear,Vites/Dişli,First gear.,Birinci vites.
Generate,Üretmek/Oluşturmak,Generate electricity.,Elektrik üretmek.
Generation,Nesil/Kuşak,Next generation.,Gelecek nesil.
Generous,Cömert,He is a generous man.,O cömert bir adamdır.
Gentle,Nazik,Be gentle.,Nazik ol.
Genuine,Hakiki/Gerçek,Genuine leather.,Hakiki deri.
Giant,Dev,Giant panda.,Dev panda.
Glance,Göz atmak,Glance at the clock.,Saate göz atmak.
Global,Küresel,Global warming.,Küresel ısınma.
Govern,Yönetmek,Govern a country.,Bir ülkeyi yönetmek.
Grab,Kapmak/Yakalamak,Grab a sandwich.,Bir sandviç kap.
Grade,Not/Sınıf,Good grades.,İyi notlar.
Gradual,Aşamalı/Yavaş,Gradual change.,Aşamalı değişim.
Graduate,Mezun olmak,Graduate from university.,Üniversiteden mezun olmak.
Grain,Tahıl,Grain production.,Tahıl üretimi.
Grant,Hibe/Bağışlamak,Government grant.,Hükümet hibesi.
Grateful,Minnettar,I am grateful for your help.,Yardımın için minnettarım.
Growth,Büyüme,Population growth.,Nüfus artışı.
Guard,Nöbetçi/Korumak,Security guard.,Güvenlik görevlisi.
Guilty,Suçlu,He feels guilty.,Suçlu hissediyor.
Habit,Alışkanlık,Bad habit.,Kötü alışkanlık.
Handle,Kulp/Ele almak,Handle with care.,Dikkatle taşı (ele al).
Hang,Asmak,Hang the picture.,Resmi as.
Harm,Zarar,Do no harm.,Zarar verme.
Harmony,Uyum/Ahenk,Live in harmony.,Uyum içinde yaşamak.
Heal,İyileşmek,Time heals everything.,Zaman her şeyi iyileştirir.
Hearing,İşitme,Hearing aid.,İşitme cihazı.
Heat,Isı/Isıtmak,Heat the water.,Suyu ısıt.
Heaven,Cennet,Heaven on earth.,Yeryüzündeki cennet.
Heel,Topuk,High heels.,Yüksek topuklu.
Height,Yükseklik/Boy,Height and weight.,Boy ve kilo.
Hero,Kahraman,National hero.,Ulusal kahraman.
Hesitate,Tereddüt etmek,Don't hesitate to ask.,Sormaktan çekinme.
Highlight,Vurgulamak,Highlight the text.,Metni vurgula.
Hire,Kiralamak/İşe almak,Hire a car.,Araba kiralamak.
Historic,Tarihi (Önemli),Historic moment.,Tarihi an.
Historical,Tarihsel (Geçmişe ait),Historical facts.,Tarihsel gerçekler.
Hollow,Oyuk/Boş,Hollow tree.,İçi boş ağaç.
Holy,Kutsal,Holy book.,Kutsal kitap.
Honest,Dürüst,Be honest with me.,Bana karşı dürüst ol.
Honor,Onur,It is an honor.,Bu bir onurdur.
Hook,Kanca,Fish hook.,Balık kancası.
Horizon,Ufuk,Look at the horizon.,Ufka bak.
Horror,Korku,Horror movie.,Korku filmi.
Host,Ev sahibi,Host country.,Ev sahibi ülke.
Household,Hane halkı,Household chores.,Ev işleri.
Housing,Konut,Housing market.,Konut piyasası.
Humor,Mizah,Sense of humor.,Mizah anlayışı.
Hunt,Avlamak,Lions hunt for food.,Aslanlar yiyecek için avlanır.
Ideal,İdeal,Ideal weight.,İdeal kilo.
Identify,Tanımlamak/Kimliğini saptamak,Identify the problem.,Sorunu tanımla.
Identity,Kimlik,Identity card.,Kimlik kartı.
Ignore,Görmezden gelmek,Don't ignore me.,Beni görmezden gelme.
Illegal,Yasadışı,Illegal drugs.,Yasadışı ilaçlar.
Illustrate,Resimlemek/Örneklemek,Illustrate a book.,Bir kitabı resimlemek.
Image,Görüntü/İmaj,Public image.,Halk imajı.
Imaginary,Hayali,Imaginary friend.,Hayali arkadaş.
Imagination,Hayal gücü,Vivid imagination.,Canlı hayal gücü.
Immediate,Acil/Derhal,Immediate action.,Acil eylem.
Immigrant,Göçmen,Illegal immigrant.,Kaçak göçmen.
Impact,Etki/Darbe,Environmental impact.,Çevresel etki.
Impatient,Sabırsız,Don't be impatient.,Sabırsız olma.
Imply,Ima etmek,What are you implying?,Neyi ima ediyorsun?
Import,İthal etmek,Import goods.,Mal ithal etmek.
Impose,Dayatmak/Uygulamak,Impose a tax.,Vergi koymak (dayatmak).
Impress,Etkilemek,Impress the boss.,Patronu etkilemek.
Impression,İzlenim,First impression.,İlk izlenim.
Impressive,Etkileyici,Impressive performance.,Etkileyici performans.
Improvement,Gelişme,Home improvement.,Ev geliştirme.
Incident,Olay (Nahoş),Serious incident.,Ciddi olay.
Income,Gelir,Annual income.,Yıllık gelir.
Increasingly,Giderek artan bir şekilde,Increasingly popular.,Giderek daha popüler.
Incredible,İnanılmaz,Incredible story.,İnanılmaz hikaye.
Indeed,Gerçekten/Hakikaten,Yes indeed.,Evet gerçekten.
Independence,Bağımsızlık,Independence Day.,Bağımsızlık Günü.
Independent,Bağımsız,Independent country.,Bağımsız ülke.
Index,Dizin/Endeks,Stock market index.,Borsa endeksi.
Indicate,Göstermek/Belirtmek,The sign indicates danger.,İşaret tehlikeyi belirtiyor.
Indirect,Dolaylı,Indirect taxes.,Dolaylı vergiler.
Individual,Birey/Bireysel,Individual rights.,Bireysel haklar.
Indoor,Kapalı mekan,Indoor pool.,Kapalı havuz.
Industrial,Endüstriyel,Industrial revolution.,Sanayi devrimi.
Infection,Enfeksiyon,Viral infection.,Viral enfeksiyon.
Inflation,Enflasyon,High inflation.,Yüksek enflasyon.
Influence,Etki/Nüfuz,Bad influence.,Kötü etki.
Inform,Bilgilendirmek,Inform the police.,Polisi bilgilendir.
Informal,Resmi olmayan,Informal dress.,Günlük (resmi olmayan) kıyafet.
Ingredient,Malzeme (Yemek),Main ingredient.,Ana malzeme.
Initial,İlk/Başlangıç,Initial reaction.,İlk tepki.
Initiative,Girişim/İnisiyatif,Take the initiative.,İnisiyatif al.
Injure,Yaralamak,He injured his leg.,Bacağını yaraladı.
Injury,Yaralanma,Serious injury.,Ciddi yaralanma.
Inner,İç/Dahili,Inner peace.,İç huzur.
Innocent,Masum,Innocent people.,Masum insanlar.
Inquiry,Sorgu/Araştırma,Make an inquiry.,Soruşturma yap.
Insight,Kavrayış/İçgörü,Deep insight.,Derin kavrayış.
Insist,Israr etmek,I insist.,Israr ediyorum.
Inspect,Denetlemek,Inspect the car.,Arabayı denetle.
Install,Kurmak (Yazılım/Cihaz),Install software.,Yazılım kurmak.
Instance,Örnek/Vaka,For instance.,Örneğin.
Instant,Anlık/Hazır,Instant coffee.,Hazır kahve.
Institute,Enstitü,Research institute.,Araştırma enstitüsü.
Institution,Kurum,Financial institution.,Finansal kurum.
Instruction,Talimat,Follow instructions.,Talimatları takip et.
Instructor,Eğitmen,Driving instructor.,Sürüş eğitmeni.
Insult,Hakaret etmek,Don't insult me.,Bana hakaret etme.
Insurance,Sigorta,Car insurance.,Araba sigortası.
Intelligence,Zeka/İstihbarat,Artificial intelligence.,Yapay zeka.
Intend,Niyet etmek,I intend to go.,Gitmeye niyetim var.
Intense,Yoğun/Şiddetli,Intense pain.,Şiddetli ağrı.
Intention,Niyet,Good intention.,İyi niyet.
Interaction,Etkileşim,Social interaction.,Sosyal etkileşim.
Internal,Dahili/İç,Internal organs.,İç organlar.
Interpret,Yorumlamak/Çevirmek,Interpret the dream.,Rüyayı yorumla.
Interpretation,Yorum,Different interpretation.,Farklı yorum.
Interrupt,Sözünü kesmek,Don't interrupt me.,Sözümü kesme.
Interval,Aralık,Short interval.,Kısa aralık.
Invest,Yatırım yapmak,Invest in gold.,Altına yatırım yapmak.
Investigate,Soruşturmak,Investigate the crime.,Suçu soruşturmak.
Investigation,Soruşturma,Under investigation.,Soruşturma altında.
Investment,Yatırım,Good investment.,İyi yatırım.
Investor,Yatırımcı,Foreign investor.,Yabancı yatırımcı.
Involve,İçermek/Kapsamak,It involves risk.,Risk içerir.
Involvement,Dahil olma,Active involvement.,Aktif katılım.
Issue,Sorun/Mesele,Big issue.,Büyük sorun.
Item,Madde/Eşya,Menu item.,Menü öğesi.
English,Turkish,EnSample,TrSample
Jacket,Ceket,Leather jacket.,Deri ceket.
Jail,Hapis,Go to jail.,Hapse girmek.
Jar,Kavanoz,Jar of jam.,Reçel kavanozu.
Jealous,Kıskanç,Don't be jealous.,Kıskanç olma.
Jewelry,Mücevher,Gold jewelry.,Altın mücevher.
Joint,Eklem/Ortak,Joint venture.,Ortak girişim.
Journal,Günlük/Dergi,Academic journal.,Akademik dergi.
Journalist,Gazeteci,Investigative journalist.,Araştırmacı gazeteci.
Journey,Yolculuk,Long journey.,Uzun yolculuk.
Judge,Yargıç/Yargılamak,Don't judge me.,Beni yargılama.
Judgment,Yargı/Karar,Poor judgment.,Zayıf muhakeme.
Junior,Kıdemce küçük,Junior manager.,Alt kademe yönetici.
Jury,Jüri,The jury decided.,Jüri karar verdi.
Justice,Adalet,We want justice.,Adalet istiyoruz.
Justify,Haklı çıkarmak,Justify your actions.,Hareketlerini haklı çıkar.
Keen,İstekli/Keskin,Keen on music.,Müziğe düşkün.
Keyboard,Klavye,Computer keyboard.,Bilgisayar klavyesi.
Kick,Tekmelemek,Kick the ball.,Topa tekme at.
Kingdom,Krallık,United Kingdom.,Birleşik Krallık.
Knock,Vurmak (Kapı),Knock on the door.,Kapıyı çal.
Knot,Düğüm,Tie a knot.,Düğüm at.
Knowledge,Bilgi,Knowledge is power.,Bilgi güçtür.
Label,Etiket,Read the label.,Etiketi oku.
Laboratory,Laboratuvar,Science laboratory.,Fen laboratuvarı.
Labour,Emek/İş gücü,Child labour.,Çocuk işçiliği.
Lack,Eksiklik,Lack of money.,Para eksikliği.
Ladder,Merdiven (Seyyar),Climb the ladder.,Merdivene tırman.
Landscape,Manzara (Peyzaj),Beautiful landscape.,Güzel manzara.
Lane,Şerit/Yol,Bus lane.,Otobüs şeridi.
Launch,Fırlatmak/Başlatmak,Launch a product.,Ürün lansmanı yapmak.
Lawyer,Avukat,I need a lawyer.,Avukata ihtiyacım var.
Layer,Katman,Ozone layer.,Ozon tabakası.
Lead,Öncülük etmek,Lead the team.,Takıma liderlik et.
Leader,Lider,Team leader.,Takım lideri.
Leadership,Liderlik,Leadership skills.,Liderlik becerileri.
League,Lig,Premier League.,Premier Lig.
Lean,Yaslanmak/Yağsız,Lean against the wall.,Duvara yaslanmak.
Leather,Deri,Genuine leather.,Hakiki deri.
Lecture,Ders (Konferans),Attend a lecture.,Derse katılmak.
Legal,Yasal,Legal action.,Yasal işlem.
Legend,Efsane,Urban legend.,Şehir efsanesi.
Legislation,Mevzuat/Yasama,New legislation.,Yeni mevzuat.
Leisure,Boş zaman,Leisure time.,Boş zaman.
Lens,Lens/Mercek,Camera lens.,Kamera lensi.
Level,Seviye,High level.,Yüksek seviye.
Liability,Yükümlülük,Legal liability.,Yasal yükümlülük.
Liberal,Liberal/Özgürlükçü,Liberal views.,Liberal görüşler.
Liberty,Özgürlük,Statue of Liberty.,Özgürlük Heykeli.
License,Lisans/Ehliyet,Driving license.,Sürücü belgesi.
Lifestyle,Yaşam tarzı,Healthy lifestyle.,Sağlıklı yaşam tarzı.
Lift,Kaldırmak/Asansör,Lift the box.,Kutuyu kaldır.
Likely,Muhtemel,It is likely to rain.,Yağmur yağması muhtemel.
Limit,Sınır,Speed limit.,Hız sınırı.
Limitation,Kısıtlama,Strict limitations.,Sıkı kısıtlamalar.
Liquid,Sıvı,Drink plenty of liquids.,Bol sıvı tüketin.
Literature,Edebiyat,English literature.,İngiliz edebiyatı.
Loan,Kredi/Borç,Bank loan.,Banka kredisi.
Local,Yerel,Local news.,Yerel haberler.
Locate,Konumlandırmak,Locate the store.,Mağazanın yerini bul.
Location,Konum,Share your location.,Konumunu paylaş.
Logic,Mantık,There is no logic.,Mantık yok.
Logical,Mantıklı,Logical explanation.,Mantıklı açıklama.
Lonely,Yalnız,I feel lonely.,Yalnız hissediyorum.
Loose,Gevşek,Loose connection.,Gevşek bağlantı.
Loss,Kayıp,Weight loss.,Kilo kaybı.
Loyal,Sadık,Loyal friend.,Sadık arkadaş.
Loyalty,Sadakat,Customer loyalty.,Müşteri sadakati.
Luxury,Lüks,Luxury car.,Lüks araba.
Machinery,Makineler,Heavy machinery.,Ağır iş makineleri.
Maintain,Sürdürmek/Bakım yapmak,Maintain the machine.,Makinenin bakımını yap.
Maintenance,Bakım,Car maintenance.,Araba bakımı.
Major,Ana/Büyük,Major problem.,Büyük sorun.
Majority,Çoğunluk,Majority vote.,Çoğunluk oyu.
Manage,Yönetmek/Başarmak,Manage a team.,Bir ekibi yönetmek.
Management,Yönetim,Time management.,Zaman yönetimi.
Manager,Yönetici,Sales manager.,Satış müdürü.
Manner,Tavır/Biçim,In a polite manner.,Kibar bir tavırla.
Manufacture,Üretmek,Manufacture cars.,Araba üretmek.
Manufacturer,Üretici,Leading manufacturer.,Önde gelen üretici.
Manufacturing,İmalat,Manufacturing industry.,İmalat sanayi.
Margin,Kenar boşluğu/Marj,Profit margin.,Kar marjı.
Marketing,Pazarlama,Marketing strategy.,Pazarlama stratejisi.
Massive,Devasa,Massive building.,Devasa bina.
Master,Usta/Efendi,Master degree.,Yüksek lisans.
Material,Malzeme,Raw material.,Ham madde.
Matter,Madde/Mesele,It doesn't matter.,Önemli değil (Mesele değil).
Maximum,Maksimum,Maximum speed.,Maksimum hız.
Mayor,Belediye başkanı,The mayor of London.,Londra belediye başkanı.
Measure,Ölçmek,Measure the length.,Uzunluğu ölç.
Measurement,Ölçüm,Take measurements.,Ölçü almak.
Mechanic,Tamirci,Car mechanic.,Araba tamircisi.
Mechanical,Mekanik,Mechanical failure.,Mekanik arıza.
Mechanism,Mekanizma,Defense mechanism.,Savunma mekanizması.
Media,Medya,Social media.,Sosyal medya.
Medical,Tıbbi,Medical check-up.,Tıbbi muayene.
Medication,İlaç tedavisi,Take medication.,İlaç almak.
Medicine,Tıp/İlaç,Study medicine.,Tıp okumak.
Membership,Üyelik,Gym membership.,Spor salonu üyeliği.
Mental,Zihinsel,Mental health.,Akıl sağlığı.
Mention,Bahsetmek,Don't mention it.,Lafı bile olmaz (Bahsetme).
Mess,Dağınıklık/Karmaşa,What a mess!,Ne dağınıklık!
Method,Yöntem,Teaching method.,Öğretim yöntemi.
Mild,Hafif/Ilıman,Mild weather.,Ilıman hava.
Military,Askeri,Military service.,Askerlik hizmeti.
Mineral,Mineral,Mineral water.,Maden suyu.
Minimum,Minimum,Minimum wage.,Asgari ücret.
Minister,Bakan,Prime Minister.,Başbakan.
Ministry,Bakanlık,Ministry of Education.,Eğitim Bakanlığı.
Minor,Küçük/Önemsiz,Minor injury.,Küçük yaralanma.
Minority,Azınlık,Minority group.,Azınlık grubu.
Miracle,Mucize,It is a miracle.,Bu bir mucize.
Miserable,Sefil/Mutsuz,Feel miserable.,Perişan hissetmek.
Mission,Görev/Misyon,Mission accomplished.,Görev tamamlandı.
Mixture,Karışım,Mixture of colors.,Renklerin karışımı.
Mobile,Mobil/Hareketli,Mobile phone.,Cep telefonu.
Mode,Mod/Biçim,Silent mode.,Sessiz mod.
Moderate,Ilımlı/Orta,Moderate exercise.,Orta seviye egzersiz.
Modest,Mütevazı,Modest house.,Mütevazı ev.
Monitor,İzlemek/Ekran,Monitor the situation.,Durumu izlemek.
Mood,Ruh hali,Good mood.,İyi ruh hali.
Moral,Ahlaki,Moral support.,Manevi destek.
Mortgage,İpotek/Konut kredisi,Pay the mortgage.,Konut kredisini ödemek.
Motion,Hareket,Slow motion.,Ağır çekim.
Motivate,Motive etmek,Motivate students.,Öğrencileri motive etmek.
Motivation,Motivasyon,Lack of motivation.,Motivasyon eksikliği.
Movement,Hareket/Akım,Political movement.,Siyasi hareket.
Mud,Çamur,Stuck in the mud.,Çamura saplanmak.
Muscle,Kas,Build muscle.,Kas yapmak.
Mystery,Gizem,Solve the mystery.,Gizemi çözmek.
Naked,Çıplak,Naked eye.,Çıplak göz.
Narrow,Dar,Narrow street.,Dar sokak.
Nation,Ulus,United Nations.,Birleşmiş Milletler.
National,Ulusal,National anthem.,Milli marş.
Native,Yerli,Native speaker.,Ana dili olan konuşmacı.
Nature,Doğa,Protect nature.,Doğayı koru.
Navy,Donanma,Join the navy.,Donanmaya katılmak.
Necessary,Gerekli,Is it necessary?,Gerekli mi?
Necessity,Gereklilik,Basic necessity.,Temel gereksinim.
Negative,Olumsuz,Negative effect.,Olumsuz etki.
Negotiate,Müzakere etmek,Negotiate the price.,Fiyatı müzakere et.
Negotiation,Müzakere,Under negotiation.,Müzakere aşamasında.
Nervous,Gergin,I feel nervous.,Gergin hissediyorum.
Network,Ağ,Computer network.,Bilgisayar ağı.
Neutral,Tarafsız/Nötr,Neutral stance.,Tarafsız duruş.
Nevertheless,Yine de,Nevertheless I will go.,Yine de gideceğim.
Nightmare,Kabus,I had a nightmare.,Bir kabus gördüm.
Noble,Asil,Noble family.,Asil aile.
Nonsense,Saçmalık,Stop talking nonsense.,Saçmalamayı kes.
Notice,Fark etmek/Duyuru,Notice board.,Duyuru panosu.
Notion,Kavram/Düşünce,Vague notion.,Belirsiz kavram.
Novel,Roman,Read a novel.,Roman oku.
Nuclear,Nükleer,Nuclear energy.,Nükleer enerji.
Nuisance,Baş belası/Sıkıntı,What a nuisance!,Ne sıkıntı ama!
Numerous,Sayısız,Numerous attempts.,Sayısız girişim.
Obey,İtaat etmek,Obey the rules.,Kurallara uy.
Object,Nesne/İtiraz etmek,Unknown object.,Bilinmeyen nesne.
Objective,Hedef/Nesnel,Main objective.,Ana hedef.
Obligation,Zorunluluk,Moral obligation.,Ahlaki zorunluluk.
Observation,Gözlem,Under observation.,Gözlem altında.
Observe,Gözlemlemek,Observe nature.,Doğayı gözlemle.
Obstacle,Engel,Overcome an obstacle.,Engeli aşmak.
Obtain,Elde etmek,Obtain permission.,İzin almak.
Obvious,Bariz,It is obvious.,Bu bariz.
Occasion,Fırsat/Etkinlik,Special occasion.,Özel gün (etkinlik).
Occupation,Meslek/İşgal,What is your occupation?,Mesleğin nedir?
Occupy,İşgal etmek/Meşgul etmek,Occupy a seat.,Yer tutmak.
Occur,Meydana gelmek,An error occurred.,Bir hata oluştu.
Offence,Suç/Saldırı,Criminal offence.,Cezai suç.
Offend,Gücendirmek,Don't offend him.,Onu gücendirme.
Offensive,Saldırgan/Kırıcı,Offensive language.,Kırıcı dil.
Official,Resmi,Official document.,Resmi belge.
Operate,İşletmek/Ameliyat etmek,Operate a machine.,Makine işletmek.
Operation,Operasyon/Ameliyat,Military operation.,Askeri operasyon.
Operator,Operatör,Machine operator.,Makine operatörü.
Opponent,Rakip,Defeat the opponent.,Rakibi yenmek.
Opportunity,Fırsat,Job opportunity.,İş fırsatı.
Oppose,Karşı çıkmak,Oppose the plan.,Plana karşı çıkmak.
Opposition,Muhalefet,Political opposition.,Siyasi muhalefet.
Optimistic,İyimser,Be optimistic.,İyimser ol.
Option,Seçenek,Best option.,En iyi seçenek.
Ordinary,Sıradan,Ordinary people.,Sıradan insanlar.
Organ,Organ,Internal organs.,İç organlar.
Organic,Organik,Organic food.,Organik gıda.
Organization,Organizasyon,Non-profit organization.,Kar amacı gütmeyen kuruluş.
Organize,Düzenlemek,Organize a meeting.,Toplantı düzenle.
Origin,Köken,Origin of species.,Türlerin kökeni.
Original,Orijinal,Original idea.,Orijinal fikir.
Outcome,Sonuç/Netice,Final outcome.,Nihai sonuç.
Outline,Taslak/Ana hat,Outline the plan.,Planın taslağını çıkar.
Output,Çıktı/Üretim,Increase output.,Üretimi artır.
Outstanding,Seçkin/Olağanüstü,Outstanding performance.,Olağanüstü performans.
Overall,Genel/Tümü,Overall effect.,Genel etki.
Overcome,Üstesinden gelmek,Overcome fear.,Korkuyu yenmek.
Owe,Borçlu olmak,I owe you money.,Sana borcum var.
Ownership,Mülkiyet,Home ownership.,Ev sahipliği (mülkiyeti).
Pace,Hız/Adım,Keep pace.,Ayak uydurmak (Hızı korumak).
Pack,Paketlemek,Pack your bags.,Çantalarını topla.
Package,Paket,Delivery package.,Teslimat paketi.
Painful,Acı verici,Painful memory.,Acı verici anı.
Palace,Saray,Royal palace.,Kraliyet sarayı.
Panel,Panel/Levha,Solar panel.,Güneş paneli.
Panic,Panik,Don't panic.,Panik yapma.
Parade,Geçit töreni,Military parade.,Askeri geçit töreni.
Parcel,Koli/Paket,Send a parcel.,Koli göndermek.
Parliament,Parlamento,Member of Parliament.,Parlamento üyesi.
Participate,Katılmak,Participate in sports.,Sporlara katılmak.
Particular,Belirli/Özel,In particular.,Özellikle.
Partner,Ortak/Partner,Business partner.,İş ortağı.
Partnership,Ortaklık,Form a partnership.,Ortaklık kurmak.
Passage,Pasaj/Geçit,Secret passage.,Gizli geçit.
Passenger,Yolcu,Bus passenger.,Otobüs yolcusu.
Passion,Tutku,Passion for music.,Müzik tutkusu.
Passive,Pasif,Passive smoking.,Pasif içicilik.
Patience,Sabır,Have patience.,Sabırlı ol.
Patient,Hasta/Sabırlı,Be patient.,Sabırlı ol.
Pattern,Desen/Model,Follow the pattern.,Modeli takip et.
Pause,Duraklamak,Pause the video.,Videoyu duraklat.
Peaceful,Huzurlu,Peaceful place.,Huzurlu yer.
Peak,Zirve,Mountain peak.,Dağ zirvesi.
Penalty,Ceza,Penalty kick.,Penaltı vuruşu.
Pension,Emekli maaşı,State pension.,Devlet emekli maaşı.
Perceive,Algılamak,Perceive danger.,Tehlikeyi algılamak.
Percentage,Yüzde,High percentage.,Yüksek yüzde.
Perception,Algı,Public perception.,Kamu algısı.
Perfectly,Kusursuzca,Perfectly clear.,Kusursuzca açık.
Perform,Sergilemek/Yapmak,Perform a task.,Bir görevi yerine getirmek.
Performance,Performans,Live performance.,Canlı performans.
Permanent,Kalıcı,Permanent job.,Kalıcı iş.
Permission,İzin,Ask for permission.,İzin iste.
Permit,İzin vermek/Ruhsat,Work permit.,Çalışma izni.
Personality,Kişilik,Strong personality.,Güçlü kişilik.
