Goal,Hedef/Gol,His goal is to become a doctor.,Onun hedefi doktor olmak.
God,Tanrı,Oh my God.,Aman Tanrım.
Gold,Altın,She wears a gold ring.,Altın bir yüzük takıyor.
Golf,Golf,He plays golf on Sundays.,Pazar günleri golf oynar.
Good,İyi,You did a good job.,İyi iş çıkardın.
Goodbye,Hoşça kal,Say goodbye to your friends.,Arkadaşlarına hoşça kal de.
Government,Hükümet,The government raised taxes.,Hükümet vergileri artırdı.
Grandfather,Büyükbaba,My grandfather is 80 years old.,Büyükbabam 80 yaşında.
Grandmother,Büyükanne,My grandmother cooks well.,Büyükannem iyi yemek yapar.
Grass,Çimen,Keep off the grass.,Çimlere basmayın.
Great,Harika/Büyük,That is a great idea.,Bu harika bir fikir.
Green,Yeşil,Trees are green.,Ağaçlar yeşildir.
Grey,Gri,The sky is grey today.,Gökyüzü bugün gri.
Ground,Yer/Zemin,He sat on the ground.,Yere oturdu.
Group,Grup,Work in small groups.,Küçük gruplar halinde çalışın.
Grow,Büyümek/Yetiştirmek,Children grow fast.,Çocuklar hızlı büyür.
Guest,Misafir,We have guests tonight.,Bu gece misafirlerimiz var.
Guide,Rehber,The tour guide was helpful.,Tur rehberi yardımcıydı.
Guitar,Gitar,He plays the guitar.,O gitar çalar.
Gun,Silah,Police officers carry guns.,Polis memurları silah taşır.
Gym,Spor salonu,I go to the gym twice a week.,Haftada iki kez spor salonuna giderim.
Hair,Saç,She has long brown hair.,Uzun kahverengi saçları var.
Half,Yarım,Half past two.,Saat iki buçuk.
Hall,Salon/Koridor,Wait in the hall.,Koridorda bekle.
Hand,El,Wash your hands.,Ellerini yıka.
Happen,Olmak (Meydana gelmek),What happened here?,Burada ne oldu?
Happy,Mutlu,She looks very happy.,Çok mutlu görünüyor.
Hard,Sert/Zor,The exam was hard.,Sınav zordu.
Hat,Şapka,He took off his hat.,Şapkasını çıkardı.
Hate,Nefret etmek,I hate waking up early.,Erken uyanmaktan nefret ederim.
English,Turkish,EnSample,TrSample
Have,Sahip olmak,I have a new computer.,Yeni bir bilgisayarım var.
Head,Baş/Kafa,My head hurts.,Başım ağrıyor.
Health,Sağlık,Health is very important.,Sağlık çok önemlidir.
Hear,Duymak,Can you hear me?,Beni duyabiliyor musun?
Heart,Kalp,She has a kind heart.,Onun nazik bir kalbi var.
Heavy,Ağır,This bag is too heavy.,Bu çanta çok ağır.
Height,Boy/Yükseklik,What is your height?,Boyun kaç?
Help,Yardım etmek,Can you help me please?,Bana yardım edebilir misin lütfen?
Hero,Kahraman,He is a war hero.,O bir savaş kahramanı.
High,Yüksek,The mountain is very high.,Dağ çok yüksek.
History,Tarih,I like studying history.,Tarih çalışmayı severim.
Hit,Vurmak,He hit the ball hard.,Topa sert vurdu.
Hobby,Hobi,My hobby is painting.,Hobim resim yapmaktır.
Hold,Tutmak,Hold my hand.,Elimi tut.
Hole,Delik,There is a hole in my sock.,Çorabımda bir delik var.
Holiday,Tatil,We are going on holiday.,Tatile gidiyoruz.
Home,Ev,I want to go home.,Eve gitmek istiyorum.
Homework,Ödev,I have a lot of homework.,Çok ödevim var.
Hope,Umut etmek,I hope you feel better.,Umarım daha iyi hissedersin.
Horse,At,She likes riding horses.,O at binmeyi sever.
Hospital,Hastane,The hospital is near here.,Hastane buraya yakın.
Hot,Sıcak,It is hot today.,Bugün hava sıcak.
Hotel,Otel,We stayed at a nice hotel.,Güzel bir otelde kaldık.
Hour,Saat (Süre),I waited for an hour.,Bir saat bekledim.
House,Ev (Bina),They bought a new house.,Yeni bir ev aldılar.
How,Nasıl,How do you do that?,Bunu nasıl yapıyorsun?
However,Ancak/Yine de,I am tired however I must work.,Yorgunum yine de çalışmalıyım.
Huge,Kocaman,The elephant is huge.,Fil kocamandır.
Human,İnsan,Human rights.,İnsan hakları.
Hundred,Yüz,One hundred years.,Yüz yıl.
Hungry,Aç,I am hungry let's eat.,Açım hadi yemek yiyelim.
Hurry,Acele etmek,Hurry up we are late.,Acele et geç kaldık.
Hurt,Acımak/İncitmek,Did you hurt yourself?,Kendini incittin mi?
Husband,Koca (Eş),Her husband is a doctor.,Onun kocası bir doktor.
Ice,Buz,I want ice in my water.,Suyumda buz istiyorum.
Idea,Fikir,That is a good idea.,Bu iyi bir fikir.
If,Eğer,If it rains we stay home.,Eğer yağmur yağarsa evde kalırız.
Ill,Hasta,He is very ill.,O çok hasta.
Imagine,Hayal etmek,Imagine a world without war.,Savaşsız bir dünya hayal et.
Immediately,Derhal/Hemen,Come here immediately.,Derhal buraya gel.
Important,Önemli,This is an important meeting.,Bu önemli bir toplantı.
Impossible,Imkansız,Nothing is impossible.,Hiçbir şey imkansız değildir.
Improve,Geliştirmek,I want to improve my English.,İngilizcemi geliştirmek istiyorum.
In,İçinde,The keys are in the bag.,Anahtarlar çantanın içinde.
Include,Dahil etmek,Breakfast is included.,Kahvaltı dahildir.
Industry,Endüstri/Sanayi,Car industry.,Araba endüstrisi.
Information,Bilgi,I need some information.,Biraz bilgiye ihtiyacım var.
Insect,Böcek,There is an insect on the wall.,Duvarda bir böcek var.
Inside,İçeri/İçerisi,Let's go inside.,Hadi içeri gidelim.
Instead,Yerine,Drink water instead of cola.,Kola yerine su iç.
Instruction,Talimat,Read the instructions carefully.,Talimatları dikkatlice oku.
Instrument,Enstrüman/Alet,Musical instrument.,Müzik enstrümanı.
Intelligent,Zeki,She is very intelligent.,O çok zeki.
Interest,İlgi,I have an interest in art.,Sanata ilgim var.
Interesting,İlginç,This book is very interesting.,Bu kitap çok ilginç.
International,Uluslararası,International airport.,Uluslararası havalimanı.
Internet,İnternet,I surf the internet.,İnternette gezinirim.
Interview,Röportaj/Mülakat,I have a job interview.,İş görüşmem var.
Into,İçine,He jumped into the water.,Suyun içine atladı.
Introduce,Tanıtmak/Tanıştırmak,Let me introduce myself.,Kendimi tanıtmama izin verin.
Invitation,Davetiye,Thanks for the invitation.,Davet için teşekkürler.
Island,Ada,They live on an island.,Bir adada yaşıyorlar.
Item,Eşya/Madde,Check the items on the list.,Listedeki maddeleri kontrol et.
Jacket,Ceket,Wear your jacket.,Ceketini giy.
Jam,Reçel/Sıkışıklık,Strawberry jam.,Çilek reçeli.
Job,İş/Meslek,I love my job.,İşimi seviyorum.
Join,Katılmak,Join us for dinner.,Akşam yemeği için bize katıl.
Journalist,Gazeteci,She works as a journalist.,Gazeteci olarak çalışıyor.
Journey,Yolculuk (Uzun),It was a long journey.,Uzun bir yolculuktu.
Juice,Meyve suyu,Orange juice.,Portakal suyu.
Jump,Zıplamak,He jumped over the fence.,Çitin üzerinden atladı.
Just,Sadece/Henüz,I just arrived.,Henüz (yeni) vardım.
Keep,Tutmak/Saklamak,Keep the change.,Üstü kalsın (Para üstünü tut).
Key,Anahtar,I lost my car key.,Araba anahtarımı kaybettim.
Kick,Tekmelemek,He kicked the ball.,Topa tekme attı.
Kid,Çocuk (Samimi),He is just a kid.,O sadece bir çocuk.
Kill,Öldürmek,Smoking kills.,Sigara öldürür.
Kilometer,Kilometre,Ten kilometers.,On kilometre.
Kind,Kibar/Tür,She is very kind.,O çok kibar.
King,Kral,The lion is the king of the jungle.,Aslan ormanın kralıdır.
Kitchen,Mutfak,The kitchen is clean.,Mutfak temiz.
Knee,Diz,I hurt my knee.,Dizimi incittim.
Knife,Bıçak,The knife is sharp.,Bıçak keskin.
Knock,Vurmak (Kapı),Someone knocked on the door.,Biri kapıyı çaldı.
Know,Bilmek,I don't know the answer.,Cevabı bilmiyorum.
Knowledge,Bilgi (Birikim),Knowledge is power.,Bilgi güçtür.
Lake,Göl,We swam in the lake.,Gölde yüzdük.
Lamp,Lamba,Turn off the lamp.,Lambayı kapat.
Land,Arazi/İnmek (Uçak),The plane landed safely.,Uçak güvenli bir şekilde indi.
Language,Dil,Learning a language is fun.,Bir dil öğrenmek eğlencelidir.
Large,Geniş/Büyük,A large pizza please.,Büyük boy pizza lütfen.
Last,Son/Geçen,Last night.,Geçen gece.
Late,Geç,Sorry I am late.,Üzgünüm geç kaldım.
Later,Daha sonra,See you later.,Daha sonra görüşürüz.
Laugh,Gülmek,They laughed at the joke.,Şakaya güldüler.
Law,Kanun/Hukuk,You must follow the law.,Kanuna uymalısın.
Lawyer,Avukat,My brother is a lawyer.,Kardeşim bir avukat.
Lay,Sermek/Koymak,Lay the table for dinner.,Akşam yemeği için masayı kur.
Lazy,Tembel,Don't be lazy.,Tembel olma.
Lead,Yönetmek/Öncülük etmek,He leads the team.,Takıma o liderlik ediyor.
Learn,Öğrenmek,I want to learn swimming.,Yüzmeyi öğrenmek istiyorum.
Least,En az,At least try.,En azından dene.
Leave,Ayrılmak/Bırakmak,I leave home at 8.,Evden 8'de ayrılırım.
Left,Sol,Turn left at the corner.,Köşeden sola dön.
Leg,Bacak,He broke his leg.,Bacağını kırdı.
Lemon,Limon,Lemon tea.,Limonlu çay.
Lend,Ödünç vermek,Can you lend me your pen?,Kalemini bana ödünç verebilir misin?
Less,Daha az,Eat less sugar.,Daha az şeker ye.
Lesson,Ders,The lesson was boring.,Ders sıkıcıydı.
Let,İzin vermek,Let me go.,Gitmeme izin ver.
Letter,Mektup/Harf,Write a letter.,Mektup yaz.
Level,Seviye,Next level.,Sonraki seviye.
Library,Kütüphane,Be quiet in the library.,Kütüphanede sessiz ol.
Lie,Yalan söylemek/Uzanmak,Don't lie to me.,Bana yalan söyleme.
Life,Hayat,Life is short.,Hayat kısa.
Lift,Asansör/Kaldırmak,Take the lift.,Asansörü kullan.
Light,Işık/Hafif,Turn on the light.,Işığı aç.
Like,Sevmek/Gibi,I like ice cream.,Dondurma severim.
